Question;Carte;NombreDeRéponses;NombreDeBonneRéponses;reponse1;reponse2;reponse3
Quels sont les dates de la première guerre mondiale ?;/cartes/histoire/carte-ww1;3;1;1914-1918;1939-1945;1789-1815
Quels sont les dates de la seconde guerre mondiale ?;/cartes/histoire/carte-ww2;3;1;1939-1945;1914-1918;1789-1815
En quelle année les femmes ont-elles eu le droit de vote?;/cartes/histoire/carte-vote;3;1;1944;1945;1918
Comment Hitler arrive-t-il au pouvoir?;/cartes/histoire/carte-hitler;3;1;Légalement;Par un coup d'Etat;Par l'assassinat de ses rivaux  
Que veut dire guerre mondiale?;/cartes/histoire/carte-monde;3;1;Guerre qui implique beaucoup de pays du monde;Guerre qui n'a jamais de fin;Guerre qui dure un an  
Pendant quelle guerre le maréchal Pétain est-il devenu important pour la France?;/cartes/histoire/carte-marechal;3;1;Pendant la première Guerre Mondiale;Pendant la seconde Guerre Mondiale;Pendant la Guerre Froide
Quand a lieu la révolution française?;/cartes/histoire/carte-revolution;3;1;1789–1799;1772-1810;1779-1825
Qu'est ce que la monarchie absolue?;/cartes/histoire/carte-roi;3;1;Le roi gouverne seul;Le roi gouverne avec le peuple;Le roi gouverne avec beaucoup de ministres et de conseillés
Quel château symbolise la grandeur de Louis XIV?;/cartes/histoire/carte-chateau;3;1;Versailles;Saint Germain;Le Louvre
Quel surnom donne-t-on à Louis XIV?;/cartes/histoire/carte-LouisXIV;3;1;Le roi soleil;Le roi brillant;Le roi lune
